Time (s),Voltage (V)
0,3.8433821550563133
1,4.000243366610107
2,4.103392217042048
3,4.014062398603028
4,4.112781224979117
5,3.9562466032463644
6,4.198392647717698
7,3.9794469612675824
8,4.140877392914931
9,4.109635548148941
10,4.009877081559872
11,4.099151270095927
12,4.035320655177498
13,3.7630042208880217
14,3.974938573937085
15,3.882027014706497
16,3.8552927831429955
17,3.747419896924657
18,3.881402982020608
19,4.128014317769131
20,2.328
21,1
22,4
23,2
24,1
25,4
26,2
27,1
28,2
29,5
30,2
31,2
32,3
33,1
34,5
35,10
36,2

